 t-Modal velocity.
 wavevector:          16 Branch:           1
 t_evo real  imag
  1.5000000E-02  2.077997619761275E-012  1.063594253981340E-012
  2.9999999E-02  7.952005331041377E-012  7.538169025190920E-012
  4.4999998E-02  4.782307992289482E-012  1.923569711875245E-012
  5.9999999E-02  2.688328195562623E-012 -4.003215071570248E-012
  7.4999996E-02 -3.461526235170217E-012 -3.747177850179962E-012
  8.9999996E-02 -6.965753078952941E-012 -2.280905155449561E-013
  0.1050000     -3.259211694544592E-012  3.154257859553841E-012
  0.1200000     -2.007240728840962E-012  6.359739186970738E-012
  0.1350000      2.462672754251895E-012  1.103903059345277E-012
  0.1500000      4.933563961002073E-012 -8.571791895365042E-012
  0.1650000      4.120616535755815E-012 -4.176116488125785E-012
  0.1800000     -3.864496685905044E-013  3.492640922200018E-012
  0.1950000     -1.866653499262719E-012  8.482477066040878E-012
  0.2100000     -4.991906531976477E-012  5.667186133928565E-012
  0.2250000     -2.578843694847618E-012 -3.477155375087346E-012
  0.2400000     -2.079105832052347E-012 -9.706073023241837E-012
  0.2550000      3.011357016563373E-012 -6.237720870834635E-012
  0.2700000      4.670657588594342E-012  1.472212958787070E-012
  0.2850000      6.634959801531963E-012  1.860447192600423E-012
  0.3000000      8.127270336644927E-013  2.014047633024880E-012
  0.3150000     -6.494609498986444E-012  5.390719775962599E-012
  0.3300000     -1.123436535280899E-011  3.365425506269520E-012
  0.3450000     -5.235183674303335E-012 -7.526008072989865E-013
  0.3600000      3.939433737137736E-012 -7.682539946964663E-012
  0.3750000      8.791417949374103E-012 -9.112344679432034E-012
  0.3900000      6.613980258815666E-012  7.212491137542925E-013
  0.4050000      4.432849900529976E-012  7.157739105027445E-012
  0.4200000     -4.739720075888329E-012  9.292738829798712E-012
  0.4350000     -1.092098675109258E-011  3.794600663644534E-012
  0.4500000     -7.360679022891017E-012 -3.534168366028786E-012
  0.4650000      4.872280172528197E-012 -8.022725901326339E-012
  0.4800000      8.604957569956828E-012 -9.665222153076367E-012
  0.4950000      7.944025283029439E-012  1.087870139737279E-012
  0.5100000     -6.818544978535841E-013  1.237762585480665E-011
  0.5250000     -4.645181944167497E-012  1.113475811356374E-011
  0.5400000     -1.168067463194523E-011  3.303978790311924E-012
  0.5550000     -2.282364047777869E-012 -1.147632815726517E-011
  0.5700000      5.896599493370014E-012 -1.182354747229813E-011
  0.5850000      1.310757671166338E-011 -6.688390532488985E-012
  0.6000000      6.955519883839885E-012  6.467150843693802E-012
  0.6150000     -7.484578712458400E-012  1.385298235561785E-011
  0.6300000     -1.165240880556761E-011  8.344078575891465E-012
  0.6450000     -1.117573778246683E-011 -3.503410190182812E-012
  0.6600000     -1.489781966160677E-012 -1.794488077182300E-011
  0.6750000      1.365819991603669E-011 -1.098673672173076E-011
  0.6900000      1.481525856279820E-011  6.126139742433441E-012
  0.7050000      7.501751888724935E-012  1.680399903327405E-011
  0.7200000     -8.444137287342822E-012  9.426896472796589E-012
  0.7350000     -1.638412434939092E-011 -2.306508567108773E-012
  0.7500000     -1.351001364959459E-011 -1.160789821343702E-011
  0.7650000      3.689773278324401E-012 -1.309020804791401E-011
  0.7800000      1.972907163119402E-011 -7.362916296680698E-013
  0.7950000      1.272352095804822E-011  8.294231759979795E-012
  0.8100000     -2.595667789453038E-012  9.986652949892915E-012
  0.8250000     -1.228345441516669E-011  5.163731932472884E-012
  0.8400000     -1.456844229300166E-011 -4.544975286674515E-012
  0.8550000     -1.046841690777662E-012 -8.481396530088885E-012
  0.8700000      7.339938720484920E-012 -5.312499020430240E-012
  0.8850000      1.048044365552799E-011  2.693725258125554E-012
  0.9000000      6.627712478576765E-012  7.156712785263521E-012
  0.9150000     -7.113218356787332E-012  2.870389519804731E-012
  0.9300000     -7.305112182075324E-012 -4.420560117197631E-012
  0.9450000     -4.006055546740241E-012 -9.430211049851315E-012
  0.9600000      1.934282004554116E-012  3.975848416852541E-012
  0.9750000      4.621305825952818E-012  4.082057709479930E-012
